mass_A
t	x	y
2.778000000E2	-4.427626686E-6	5.533227478E-6
2.778333333E2	-4.516416964E-6	5.551729893E-6
2.778666667E2	-4.518513240E-6	5.542794327E-6
2.779000000E2	-4.519843970E-6	5.538321677E-6
2.779333333E2	-4.520377506E-6	5.535610972E-6
2.779666667E2	-4.561506381E-6	5.329284062E-6
2.780000000E2	-4.560868747E-6	5.329662168E-6
2.780333333E2	-4.563917436E-6	5.332884200E-6
2.780666667E2	-4.566070616E-6	5.334793189E-6
2.781000000E2	-4.513638813E-6	5.322422873E-6
2.781333333E2	-4.516412553E-6	5.328967370E-6
2.781666667E2	-4.518365190E-6	5.332699567E-6
2.782000000E2	-4.519403506E-6	5.334799152E-6
2.782333333E2	-4.338395413E-6	5.327511471E-6
2.782666667E2	-4.334609971E-6	5.331622222E-6
2.783000000E2	-4.332821625E-6	5.334045965E-6
2.783333333E2	-4.331508796E-6	5.335638251E-6
2.783666667E2	-4.156968641E-6	5.067460073E-6
2.784000000E2	-4.148544660E-6	5.061077924E-6
2.784333333E2	-4.145632018E-6	5.056794919E-6
2.784666667E2	-4.142259183E-6	5.054557190E-6
2.785000000E2	-4.135554762E-6	5.147898617E-6
2.785333333E2	-4.135757174E-6	5.147494717E-6
2.785666667E2	-4.135757098E-6	5.147064640E-6
2.786000000E2	-4.135991091E-6	5.146855511E-6
2.786333333E2	-3.982862569E-6	5.192107916E-6
2.786666667E2	-3.986908579E-6	5.193203859E-6
2.787000000E2	-3.989210183E-6	5.194032586E-6
2.787333333E2	-3.990409433E-6	5.194301328E-6
2.787666667E2	-3.976631660E-6	5.151062543E-6
2.788000000E2	-3.983333921E-6	5.149382690E-6
2.788333333E2	-3.986256777E-6	5.147938434E-6
2.788666667E2	-3.988496223E-6	5.147496099E-6
2.789000000E2	-3.960120395E-6	5.103041559E-6
2.789333333E2	-3.953586386E-6	5.101207366E-6
2.789666667E2	-3.950923375E-6	5.100625128E-6
2.790000000E2	-3.948030530E-6	5.099417706E-6
2.790333333E2	-4.069658356E-6	5.039578442E-6
2.790666667E2	-4.078541612E-6	5.044281554E-6
2.791000000E2	-4.082985479E-6	5.046436591E-6
2.791333333E2	-4.085025361E-6	5.047959767E-6
2.791666667E2	-4.089665521E-6	5.058086976E-6
2.792000000E2	-4.089286935E-6	5.055547338E-6
2.792333333E2	-4.089661176E-6	5.054121374E-6
2.792666667E2	-4.089233644E-6	5.052843837E-6
2.793000000E2	-4.089082757E-6	5.052430146E-6
2.793333333E2	-4.088887615E-6	5.051779090E-6
2.793666667E2	-4.290424568E-6	5.113300587E-6
2.794000000E2	-4.287193792E-6	5.106632303E-6
2.794333333E2	-4.291411159E-6	5.180537888E-6
2.794666667E2	-4.287575199E-6	5.186705479E-6
2.795000000E2	-4.285199674E-6	5.189580947E-6
2.795333333E2	-4.283751754E-6	5.191428606E-6
2.795666667E2	-4.277244140E-6	5.331792989E-6
2.796000000E2	-4.278388651E-6	5.335549543E-6
2.796333333E2	-4.279171872E-6	5.336914525E-6
2.796666667E2	-4.279705246E-6	5.337657488E-6
2.797000000E2	-4.280028839E-6	5.338074541E-6
2.797333333E2	-4.280251994E-6	5.338328034E-6
2.797666667E2	-4.296146768E-6	5.331683855E-6
2.798000000E2	-4.289953284E-6	5.334176633E-6
2.798333333E2	-4.184803525E-6	5.332396922E-6
2.798666667E2	-4.184824157E-6	5.334771154E-6
2.799000000E2	-4.131579448E-6	5.335008503E-6
2.799333333E2	-4.133737475E-6	5.336478723E-6
2.799666667E2	-4.134020216E-6	5.337147662E-6
2.800000000E2	-4.133623168E-6	5.337236585E-6
2.800333333E2	-4.045902958E-6	5.348335432E-6
2.800666667E2	-4.043884977E-6	5.344900165E-6
2.801000000E2	-4.042995773E-6	5.343035981E-6
2.801333333E2	-3.994537561E-6	5.148535806E-6
2.801666667E2	-3.993734838E-6	5.147868527E-6
2.802000000E2	-3.993364976E-6	5.147435067E-6
2.802333333E2	-3.993033922E-6	5.147143743E-6
2.802666667E2	-3.947124603E-6	5.378559775E-6
2.803000000E2	-3.946630006E-6	5.382505682E-6
2.803333333E2	-3.945650978E-6	5.384370129E-6
2.803666667E2	-3.945334309E-6	5.385245162E-6
2.804000000E2	-4.070871340E-6	5.437199861E-6
2.804333333E2	-4.078967662E-6	5.436472282E-6
